review_id,score,text,rating_id,order_id,complaint,plan_next,complaint_types
40248,3,"9037624648 - 9 - Снизили оценку за обед, который не похож был на фото представленные в рекламе тура и больше походил на обед из столовой. Гид, сопровождающий тур понравилась. Очень много информации по теме тура. Совсем не было свободного времени. Мы не возвращались на автобусе, а брали билеты на поезд, что бы самостоятельно погулять по Ярославлю. В идеале, нас бы устроил вариант в Ярославль на автобусе, а обратно на поезде.",40258,475166,True,False,[]
3827,4,"Мало информации от экскурсовода во время движения автобуса. Про Рязвнь - такое впечатление , что свинья у банка- главная достопримечательность. Водители хамоваты ( даже мат мелькал)и автобусе то жара то холод и причем холод был в самые морозы.",3838,322220,True,,[]
6115,4,"Оценка -1 Мы больше никуда и никогда с вами не поедем. Просьба не беспокоить.
",6126,353591,True,,[]
50597,2,Причин не назвала.,50631,522441,True,False,[]
2171,4,"Самое главное пожелание - грамотно планировать экскурсии и время между ними, например, у нас была калачная после которой было всего 10 минут до отъезда автобуса и калачи купить не успели (не я одна), гид сказала, что будет свободное время после пастилы и сможем купить, но увы когда после пастилы приехали снова за калачами, то их не оказалось, все продали(( так мы остались без калачей",2182,317154,True,,[]
937,4,Отель Октябрьский в Пскове огорчил номерным фондом.,948,323260,True,,[]
2691,4,"По ораганизации тура вопросов нет. Утром очень долго ждали посадки в автобус. Гид и водитель были внутри, но не пускали без объяснений. Туристы сели в  автобус в 7:15, а должны в 6:45. Водитель не знал дорогу, делал не так как говорила гид. В итоге заехал не с той стороны и долго ждали времени, чтобы зайти в музей. ",2702,269610,True,,[]
1295,1,Ужасно. Такой поездки к нас ещё не было,1306,323764,True,,[]
1350,4,не все понравилось !,1361,325635,True,,[]
1337,4,Не все понравилось ,1348,325545,True,,[]
14543,4,"Добрый день. Поездка была интересная, познавательная. Узнали много нового. Но есть вопросы к обеду в городе Ржев. Подали суп сырный, но на мой взгляд , суп был не сырный. Не понятно какой. Может быть изменить суп на борщ. Это единственный ньюанс. Который возник. А так , все хорошо. В Твери конечно времени нам не хватило, Тверь ""пробежали"".",14554,378394,True,False,[]
14527,4,"Экскурсия по Переславлю-Залесскому не произвела впечатления.
Была показана только Красная площадь , при наличии в городе 5 действующих монастырей и многочисленных церквей. Вместо исторических достопримечательностей была поездка на сыроварню в лучших традициях турецких экскурсионных туров с заездами на меховые и кондитерские фабрики.",14538,381436,True,False,[]
14559,3,"Здравствуйте! Сама поездка и гид на 10 балов, а гостиницу оценю на 4 бала.
У гостиницы 3* даже нет плюсов. Расположение на отшибе, не погуляешь вечером. Ключ электронный не работал, правда оперативно пришли заменили ботарейки заработало. Телевизор показывал не четко, в комнате душно, был кондиционер, но его на ночь не оставишь, а окна не откроешь, залетают каморы, неплохо было, если была бы сетка на окнах. Сама комната не уютная, маленькая с ужасными портьерами и занавесками. Еда не понравилась, ужин и шведский стол. В коридорах не было диспенсера с горячей и холодной водой. Раньше в других поездках тоже были 3 * отели, и как-то все было прилично.",14570,380773,True,False,[]
14863,3,"Очень мало времени на все экскурсии
",14874,383135,True,False,[]
12923,4,Практически не видели Новгород. В остальном все понравилось,12934,374302,True,False,[]
9791,4,"Наш экскурсовод Елена была великолепна, за достаточно ограниченное время она сумела показать красоту русских городов! Ей 100 баллов за сопровождение нашего маленького путешествия! У меня пожелание к туроператору. Все таки для того, чтобы хорошо осмотреть и оценить город мало двух дней для четырех городов. Все таки мне, кажется, что на каждый город нужно выделять один день.",9802,362459,True,False,[]
